Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
Chrispep,62,10,0,0,8.7,44,8,0,0,6.4,2.3
Lord Casco,0,227,19,0,75.75,0,222,18,0,73.5,2.25
brokenjade01,70,130,5,0,44.5,70,121,5,0,42.25,2.25
Nagala,301,273,84,0,182.35,301,273,82,0,180.35,2.0
kela,606,280,86,0,216.6,606,280,84,0,214.6,2.0
Orkwam,82,34,2,0,18.7,82,32,1,0,17.2,1.5
brokenjade20,33,1,0,0,3.55,21,1,0,0,2.35,1.2
Wolvesbane,1759,118,1,0,206.4,1759,115,1,0,205.65,0.75
tank008,363,72,0,0,54.3,357,72,0,0,53.7,0.6
kela3,6,0,0,0,0.6,1,0,0,0,0.1,0.5
kela2,2,1,0,0,0.45,0,0,0,0,0.0,0.45
Letel,550,0,0,0,55.0,546,0,0,0,54.6,0.4
Wolffssonson,288,107,2,0,57.55,288,106,2,0,57.3,0.25
Durrandon800,1,110,2,0,29.6,1,109,2,0,29.35,0.25
sonar,35,19,0,0,8.25,35,18,0,0,8.0,0.25
LilLetel,123,0,0,0,12.3,121,0,0,0,12.1,0.2
Ze Joker,0,0,18,0,18.0,0,0,18,0,18.0,0.0
DonKanallje,4,47,76,6,106.15,4,47,76,6,106.15,0.0
Borutha,2,0,0,0,0.2,2,0,0,0,0.2,0.0
tank010,0,0,0,0,0.0,0,0,0,0,0.0,0.0
tank009,9,0,0,0,0.9,9,0,0,0,0.9,0.0
APOLO1,130,11,0,0,15.75,130,11,0,0,15.75,0.0
Kpolice,0,0,0,0,0.0,0,0,0,0,0.0,0.0
Drunkard,1,3,0,0,0.85,1,3,0,0,0.85,0.0
Total,,,,,10659.10,,,,,9816.60,842.50
